,Ort,Stärke
119,"9km WNW of Cobb, CA",0.81
120,"92km WSW of Cantwell, Alaska",1.8
121,"69km SSW of Kaktovik, Alaska",2.1
122,"7km NE of Y, Alaska",1.4
123,"4km WSW of Volcano, Hawaii",1.8
124,"31km NNE of Beatty, Nevada",0.7
125,"9km NE of Aguanga, CA",0.32
126,"22km ENE of Honaunau-Napoopoo, Hawaii",2.69
127,"9km NE of Aguanga, CA",0.79
128,"50km ENE of Beatty, Nevada",0.1
129,"43km NNE of Sutton-Alpine, Alaska",1.6
130,"79km ESE of Kuh Sefid, Iran",4.7
131,"21km ENE of Honaunau-Napoopoo, Hawaii",2.46
132,"15km S of Palaikastron, Greece",4.9
133,"42km W of Willow, Alaska",1.2
134,"3km ESE of Loma Linda, CA",0.64
135,"9km E of Mammoth Lakes, CA",0.83
136,"8km S of La Parguera, Puerto Rico",1.31
137,"64km ENE of Fallon, Nevada",1.1
138,"119km W of Cantwell, Alaska",1.7
139,"84km WSW of Cantwell, Alaska",1.7
140,"31km WNW of Gabbs, Nevada",0.0
141,"16km ESE of Julian, CA",0.67
142,"21km ESE of Bodfish, CA",1.09
143,"9km NE of Aguanga, CA",0.55
144,"9km NE of Aguanga, CA",1.01
145,"8km NE of Aguanga, CA",1.26
146,"11km NW of Aguanga, CA",0.67
147,"4km NNW of Point Roberts, Washington",1.09
148,"115km NW of Arctic Village, Alaska",1.6
149,"9km NE of Aguanga, CA",0.37
150,"4km SSE of Lake Henshaw, CA",0.74
151,"8km NE of Aguanga, CA",1.34
152,"2km WNW of Lamont, CA",1.23
153,"9km NE of Aguanga, CA",0.93
154,"9km NE of Aguanga, CA",0.54
155,"111km NW of Arctic Village, Alaska",1.8
156,"24km E of Talkeetna, Alaska",1.5
157,"66km ESE of Sutton-Alpine, Alaska",1.5
158,"260km NNE of Ndoi Island, Fiji",6.6
159,"111km NW of Arctic Village, Alaska",1.7
160,"4km S of Pahala, Hawaii",1.87
161,"111km NW of Arctic Village, Alaska",2.4
162,"48km WNW of Talkeetna, Alaska",1.6
163,"13km NNW of North Nenana, Alaska",1.1
164,"9km NE of Aguanga, CA",0.36
165,"33km NW of Beatty, Nevada",0.5
166,"9km NE of Aguanga, CA",1.53
167,"9km N of Borrego Springs, CA",0.76
168,"261km SE of Kodiak, Alaska",3.4
169,"18km ENE of North Cowichan, Canada",1.29
170,"248km SE of Kodiak, Alaska",3.5
171,"79km NNW of Raoul Island, New Zealand",4.7
172,"245km SE of Kodiak, Alaska",4.2
173,"106km NW of Tobelo, Indonesia",4.4
174,"7km WNW of Cobb, CA",1.24
175,"1km E of San Jacinto, CA",0.69
176,"254km SE of Kodiak, Alaska",3.4
177,"54km WSW of Tok, Alaska",1.7
178,"48km ESE of Beatty, Nevada",-0.3
179,"101km NW of Arctic Village, Alaska",1.4
180,"51km S of Winnemucca, Nevada",1.8
181,"2km ESE of Pahala, Hawaii",2.05
182,"66km SSW of Kaktovik, Alaska",2.0
183,"4km W of Cobb, CA",0.47
184,"13km E of Jamul, CA",1.08
185,"33km NW of Shizunai, Japan",5.0
186,"10km NE of Aguanga, CA",0.28
187,"6km NNE of Perris, CA",1.27
188,"8km NE of Aguanga, CA",2.64
189,"3km SE of The Geysers, CA",1.03
190,"9km NNE of Borrego Springs, CA",0.65
191,"59km W of Rincon, Puerto Rico",3.07
192,"13km SW of Wellington, Kansas",2.6
193,"71km N of Culebra, Puerto Rico",2.81
194,"36km E of Anchorage, Alaska",1.4
195,"21km SW of Talkeetna, Alaska",1.3
196,"57km E of Cape Yakataga, Alaska",1.4
197,"8km WSW of Holtville, CA",1.77
198,"63km SW of Anchor Point, Alaska",2.0
199,"60km ENE of Cape Yakataga, Alaska",1.4
200,"20km N of Beatty, Nevada",-0.2
201,"111km W of Cantwell, Alaska",1.7
202,"106km NNW of Arctic Village, Alaska",1.7
203,"9km NE of Aguanga, CA",0.93
204,"8km SW of Idyllwild, CA",0.86
205,"46km ENE of Beatty, Nevada",-0.5
206,"9km N of Borrego Springs, CA",1.06
207,"69km W of Willow, Alaska",2.0
208,"7km SW of Holtville, CA",1.15
209,"7km SW of Holtville, CA",1.49
210,"3km SE of The Geysers, CA",0.92
211,"9km NE of Aguanga, CA",0.27
212,"38km NE of Mammoth Lakes, California",1.2
213,"97km NW of Arctic Village, Alaska",2.4
214,"5km NW of Parkfield, CA",0.56
215,"7km ESE of Wofford Heights, CA",0.79
216,"47km ENE of Beatty, Nevada",-0.2
217,"27km SW of Big Lake, Alaska",1.4
218,"6km WNW of Cobb, CA",0.41
219,"16km ESE of Julian, CA",0.68
220,"122km W of Cantwell, Alaska",1.5
221,"72km WSW of Alamo, Nevada",-0.1
222,"15km WSW of Lakeport, CA",1.75
223,"72km ENE of Cape Yakataga, Alaska",0.7
224,"6km ESE of San Ramon, CA",1.62
225,"86km N of Kobuk, Alaska",1.5
226,"2km SSE of Lake Henshaw, CA",0.68
227,"25km E of Lake Isabella, CA",0.82
228,"46km NE of Mammoth Lakes, California",0.8
229,"8km S of Anchorage, Alaska",2.0
230,"3km NW of Mayaguez, Puerto Rico",2.45
231,"79km ENE of San Pedro de Atacama, Chile",4.2
232,"45km W of Anchor Point, Alaska",1.7
233,"62km ESE of Whittier, Alaska",1.6
234,"25km E of Lake Isabella, CA",1.11
235,"7km S of Tallaboa, Puerto Rico",1.9
236,"2km ESE of Lake Henshaw, CA",0.92
237,"8km S of Tallaboa, Puerto Rico",1.64
238,"53km W of Willow, Alaska",0.8
239,"3km NW of Dixon Lane-Meadow Creek, CA",1.43
240,"59km NNW of Talkeetna, Alaska",1.5
241,"20km SSE of Alamo, Nevada",0.9
242,"13km NNW of Meadow Lakes, Alaska",1.6
243,"110km W of Cantwell, Alaska",1.5
244,"10km NE of Aguanga, CA",0.33
245,"56km ENE of Beatty, Nevada",-0.5
246,"119km NW of Talkeetna, Alaska",1.7
247,"56km NE of Beatty, Nevada",-0.4
248,"10km WNW of The Geysers, CA",0.73
249,"7km NW of The Geysers, CA",1.13
250,"7km E of Running Springs, CA",0.99
251,"5km ENE of Valle Vista, CA",0.77
252,"8km NNE of Borrego Springs, CA",0.77
253,"9km N of Borrego Springs, CA",1.48
254,"9km ENE of Aguanga, CA",1.13
255,"12km N of Banning, CA",0.92
256,"10km N of Lagunitas-Forest Knolls, CA",1.67
257,"22km ESE of Lata, Solomon Islands",4.5
258,"9km N of Borrego Springs, CA",2.16
259,"36km E of Lazy Mountain, Alaska",0.7
260,"9km SSW of San Diego Country Estates, CA",0.88
261,"39km SSE of Goldfield, Nevada",0.4
262,"99km NW of Kodiak Station, Alaska",2.2
263,"85km N of Kobuk, Alaska",1.6
264,"32km SW of Austin, Nevada",0.7
265,"3km ESE of Big Lake, Alaska",1.6
266,"10km E of Lazy Mountain, Alaska",1.4
267,"44km N of Valdez, Alaska",1.7
268,"125km NNW of Arctic Village, Alaska",2.4
269,"63km E of Cape Yakataga, Alaska",1.3
270,"63km NW of Cape Yakataga, Alaska",1.4
271,"53km NW of Cape Yakataga, Alaska",2.5
272,"9km NE of Aguanga, CA",1.19
273,"49km S of Deltana, Alaska",1.6
274,"74km NNW of Talkeetna, Alaska",1.8
275,"26km SSE of Beatty, Nevada",0.0
276,"48km W of Anchorage, Alaska",1.9
277,"63km WNW of Talkeetna, Alaska",1.6
278,"23km WNW of Willow, Alaska",1.3
279,"117km NNW of Talkeetna, Alaska",1.5
280,"9km WNW of Rincon, Puerto Rico",2.24
281,"4km WSW of Volcano, Hawaii",2.03
282,"126km NNW of Arctic Village, Alaska",2.0
283,"23km SSW of La Quinta, CA",1.17
284,"128km NNW of Arctic Village, Alaska",3.1
285,"69km NW of Valdez, Alaska",2.0
286,"6km NW of San Jacinto, CA",1.44
287,"116km NNW of Arctic Village, Alaska",3.2
288,"72km NNW of Cape Yakataga, Alaska",0.8
289,"13km SSE of Gardnerville Ranchos, Nevada",1.1
290,"34km NW of Beatty, Nevada",0.6
291,"114km NW of Talkeetna, Alaska",1.8
292,"10km NE of Aguanga, CA",0.56
293,"1km W of Volcano, Hawaii",2.12
294,"43km E of Cape Yakataga, Alaska",1.6
295,"10km NE of Aguanga, CA",0.57
296,"10km NE of Aguanga, CA",0.5
297,"2km N of The Geysers, CA",2.16
298,"23km WSW of Tanaga Volcano, Alaska",1.5
299,"209km N of Loiza, Puerto Rico",4.5
300,"6km NW of San Jacinto, CA",1.11
301,"32km SSW of Beatty, Nevada",0.8
302,"14km WSW of Round Valley, CA",1.27
303,"8km S of Tallaboa, Puerto Rico",2.07
304,"66km NW of Nellis Air Force Base, Nevada",1.1
305,"6km NE of Camp Pendleton South, CA",0.42
306,"101km W of Talkeetna, Alaska",1.6
307,"4km SW of Sabana Grande, Puerto Rico",1.95
308,"67km SSW of Kaktovik, Alaska",2.0
309,"26km ENE of Pine Valley, CA",1.56
310,"7km NW of The Geysers, CA",0.56
311,"7km NW of The Geysers, CA",1.12
312,"43km NW of San Antonio, Puerto Rico",2.77
313,"8km NW of The Geysers, CA",0.67
314,"60km WSW of Big Lake, Alaska",1.4
315,"12km ESE of Y, Alaska",1.6
316,"32km SE of Amatignak Island, Alaska",2.3
317,"34km W of Big Lake, Alaska",2.8
318,"5km W of Cobb, CA",1.05
319,"5km E of Jamul, CA",0.55
320,"27km NNW of Packwood, Washington",0.7
321,"5km ESE of Lebec, CA",1.34
322,"5km WSW of Volcano, Hawaii",1.87
323,"9km NE of Aguanga, CA",1.12
324,"71km WSW of Tok, Alaska",1.7
325,"27km NNW of Packwood, Washington",0.66
326,"11km W of Ely, Nevada",2.0
327,"9km SSW of Big Lake, Alaska",0.9
328,"10km NE of Aguanga, CA",0.37
329,"21km SSE of Tallaboa, Puerto Rico",2.14
330,"7km WNW of The Geysers, CA",0.93
331,"52km SSW of Kaktovik, Alaska",2.0
332,"12km SW of Wellington, Kansas",2.7
333,"26km E of Honaunau-Napoopoo, Hawaii",2.66
334,"36km SSE of Morton, Washington",0.33
335,"44km ENE of Cape Yakataga, Alaska",1.4
336,"60km W of Kasiguncu, Indonesia",4.4
337,"6km NW of Big Lake, Alaska",1.5
338,"10km NE of Aguanga, CA",0.54
339,"11km NE of Aguanga, CA",0.31
340,"21km ENE of Honaunau-Napoopoo, Hawaii",2.28
341,"153km S of Kotzebue, Alaska",2.2
342,"22km ENE of Honaunau-Napoopoo, Hawaii",2.01
343,"157km SSE of Kotzebue, Alaska",2.7
344,"116km NNW of Arctic Village, Alaska",1.7
345,"22km ENE of Honaunau-Napoopoo, Hawaii",0.99
346,"8km W of Rincon, Puerto Rico",2.57
347,"88km ENE of Norsup, Vanuatu",5.1
348,"87km WNW of Arctic Village, Alaska",1.6
349,"87km NNW of Arctic Village, Alaska",1.8
350,"10km NE of Vista, CA",0.79
351,"85km ENE of Cantwell, Alaska",1.9
352,"52km WNW of Valdez, Alaska",1.7
353,"161km S of Kotzebue, Alaska",3.3
354,"13km SW of Wellington, Kansas",2.8
355,"26km NNW of Pahala, Hawaii",0.67
356,"173km SE of Pondaguitan, Philippines",4.5
357,"10km NE of Aguanga, CA",0.75
358,"22km ENE of Honaunau-Napoopoo, Hawaii",1.04
359,"47km SE of Cohoe, Alaska",1.7
360,"10km WNW of The Geysers, CA",0.58
361,"8km E of Yorba Linda, CA",1.69
362,"92km NW of Arctic Village, Alaska",1.9
363,"132km NW of Arctic Village, Alaska",1.9
364,"22km ENE of Honaunau-Napoopoo, Hawaii",2.36
365,"4km WSW of Volcano, Hawaii",3.01
366,"69km S of Kaktovik, Alaska",2.7
367,"14km NNW of Pine Valley, CA",0.95
368,"22km ENE of Honaunau-Napoopoo, Hawaii",1.0
369,"97km S of Kaktovik, Alaska",1.4
370,"5km WNW of Palomar Observatory, CA",0.8
371,"22km ENE of Honaunau-Napoopoo, Hawaii",2.79
372,"28km WSW of Hawthorne, Nevada",0.9
373,"8km SW of Idyllwild, CA",0.67
374,"96km SE of Old Iliamna, Alaska",1.9
375,"59km SSW of Little Sitkin Island, Alaska",2.5
376,"34km NW of Beatty, Nevada",1.1
377,"7km ENE of Pinnacles, CA",2.04
378,"7km WSW of Lakeland Village, CA",1.46
379,"43km SW of Stovepipe Wells, CA",1.9
380,"27km E of Honaunau-Napoopoo, Hawaii",0.69
381,"50km W of Anchorage, Alaska",1.4
382,"72km NE of Kodiak, Alaska",2.4
383,"55km S of Kaktovik, Alaska",2.2
384,"32km SW of Lovelock, Nevada",1.4
385,"5km NNW of The Geysers, CA",0.88
386,"13km SSW of Olancha, CA",1.7
387,"8km NW of The Geysers, CA",0.56
388,"44km SSW of Kaktovik, Alaska",1.8
389,"55km SSW of Kaktovik, Alaska",2.1
390,"40km SW of Ashkasham, Afghanistan",4.2
391,"120km WSW of Old Crow, Canada",1.4
392,"110km NNW of Arctic Village, Alaska",2.0
393,"55km ENE of Beatty, Nevada",0.1
394,"9km NE of Aguanga, CA",0.82
395,"95km SE of Arica, Chile",4.4
396,"9km NE of Aguanga, CA",1.25
397,"9km SW of Idyllwild, CA",1.32
398,"5km ESE of Lake Henshaw, CA",0.78
399,"6km ENE of La Parguera, Puerto Rico",1.34
400,"4km SE of Pahala, Hawaii",1.87
401,"8km NE of Aguanga, CA",1.56
402,"36km SW of Talkeetna, Alaska",0.8
403,"76km SW of Kaktovik, Alaska",3.3
404,"9km NE of Aguanga, CA",1.34
405,"10km NE of Aguanga, CA",0.55
406,"6km N of Beshrabot, Uzbekistan",4.1
407,"10km NW of The Geysers, CA",0.57
408,"10km NE of Aguanga, CA",0.51
409,"17km N of Taloga, Oklahoma",2.7
410,"42km NNW of Yarmouth, Canada",2.5
411,"9km NE of Aguanga, CA",0.85
412,"27km NNW of Packwood, Washington",1.1
413,"105km NNW of Arctic Village, Alaska",1.8
414,"8km W of Volcano, Hawaii",1.92
415,"22km ENE of Honaunau-Napoopoo, Hawaii",1.03
416,"8km NE of Aguanga, CA",0.43
417,"16km ENE of Ojai, CA",1.49
418,"10km NE of Aguanga, CA",0.84
419,"3km ESE of Lake Henshaw, CA",0.59
420,"69km SSW of Kobuk, Alaska",1.9
421,"2km SE of Pahala, Hawaii",2.59
422,"9km NW of The Geysers, CA",1.14
423,"22km SW of Perry, Oklahoma",3.6
424,"5km ESE of Beaumont, CA",1.06
425,"3km ESE of Lake Henshaw, CA",1.16
426,"15km NE of Little Lake, CA",0.8
427,"56km ENE of Beatty, Nevada",-0.1
428,"10km NE of Aguanga, CA",0.24
429,"161km S of Kotzebue, Alaska",2.2
430,"10km NE of Aguanga, CA",0.53
431,"41km NE of Padangsidempuan, Indonesia",4.4
432,"36km ENE of Beatty, Nevada",0.4
433,"45km N of Valdez, Alaska",1.2
434,"36km ENE of Beatty, Nevada",0.3
435,"10km SE of Pinnacles, CA",1.92
436,"28km WSW of Hawthorne, Nevada",1.2
437,"36km ENE of Beatty, Nevada",0.5
438,"2km W of Caltech, Pasadena, CA",1.37
439,"160km S of Kotzebue, Alaska",2.0
440,"8km W of Cobb, CA",0.93
441,"162km S of Kotzebue, Alaska",3.4
442,"8km SSE of San Juan Bautista, CA",2.48
443,"68km SSW of Kaktovik, Alaska",2.0
444,"10km NE of Aguanga, CA",0.17
445,"22km ENE of Honaunau-Napoopoo, Hawaii",0.99
446,"41km NW of Ester, Alaska",1.5
447,"97km NW of Arctic Village, Alaska",1.4
448,"13km SE of Mammoth Lakes, CA",1.54
449,"9km NW of The Geysers, CA",0.73
450,"22km WNW of Volcano, Hawaii",1.73
451,"68km S of Kaktovik, Alaska",1.9
452,"75km WSW of Cantwell, Alaska",2.7
453,"9km NE of Aguanga, CA",1.07
454,"10km NE of Aguanga, CA",0.33
455,"10km NE of Aguanga, CA",0.58
456,"49km W of Kasiguncu, Indonesia",5.1
457,"24km S of Ester, Alaska",1.7
458,"75km NNE of Gerlach-Empire, Nevada",2.0
459,"34km NW of Beatty, Nevada",0.6
460,"8km ENE of Edmond, Oklahoma",2.1
461,"26km W of Christiansted, U.S. Virgin Islands",2.47
462,"14km SSE of Mogul, Nevada",0.0
463,"104km NW of Arctic Village, Alaska",2.6
464,"37km NNW of Beatty, Nevada",0.1
465,"163km SSE of Kotzebue, Alaska",2.9
466,"5km SSW of Idyllwild, CA",0.76
467,"10km ESE of Dollar Point, California",0.2
468,"9km SE of Incline Village, Nevada",0.0
469,"35km NNW of Valdez, Alaska",1.4
470,"76km S of Kaktovik, Alaska",2.4
471,"25km ESE of Chitose, Japan",4.5
472,"13km SW of Talkeetna, Alaska",1.4
473,"33km NW of Beatty, Nevada",0.3
474,"4km WSW of Tahoe Vista, California",0.8
475,"34km NW of Beatty, Nevada",1.0
476,"12km W of Katav-Ivanovsk, Russia",4.4
477,"8km ENE of Edmond, Oklahoma",2.3
478,"9km NE of Aguanga, CA",0.54
479,"22km ENE of Honaunau-Napoopoo, Hawaii",1.05
480,"4km SSE of Big Lake, Alaska",1.8
481,"3km NE of Eagle Village, Alaska",1.4
482,"57km WSW of Talkeetna, Alaska",1.5
483,"7km SSW of Round Valley, CA",1.86
484,"105km W of Talkeetna, Alaska",1.9
485,"4km SW of Colma, CA",2.06
486,"92km S of Old Iliamna, Alaska",2.6
487,"45km NE of Mammoth Lakes, California",0.8
488,"11km S of Tallaboa, Puerto Rico",1.96
489,"67km SE of Whittier, Alaska",1.8
490,"107km W of Cantwell, Alaska",1.4
491,"22km ENE of Honaunau-Napoopoo, Hawaii",2.14
492,"92km NW of Arctic Village, Alaska",1.9
493,"10km ESE of Dollar Point, California",-0.1
494,"77km S of Kaktovik, Alaska",1.5
495,"7km S of Tallaboa, Puerto Rico",1.82
496,"11km NE of Aguanga, CA",0.69
497,"0km WSW of The Geysers, CA",2.15
498,"0km NW of The Geysers, CA",1.05
499,"61km SW of Kaktovik, Alaska",1.4
500,"53km W of Kasiguncu, Indonesia",5.1
501,"22km ENE of Honaunau-Napoopoo, Hawaii",2.09
502,"3km WSW of Tahoe Vista, California",-0.2
503,"2km N of The Geysers, CA",1.62
504,"11km WSW of Anza, CA",-0.03
505,"2km NNW of The Geysers, CA",1.13
506,"11km SSE of Kings Beach, California",-0.3
507,"116km WNW of Arctic Village, Alaska",1.7
508,"8km ENE of Aguanga, CA",1.82
509,"83km WNW of Arctic Village, Alaska",2.3
510,"44km S of Gabbs, Nevada",0.9
511,"33km NW of Beatty, Nevada",-0.3
512,"44km WSW of Whittier, Alaska",1.0
513,"4km W of Tahoe Vista, California",-0.3
514,"6km SSW of Big Lake, Alaska",2.3
515,"89km WNW of Cape Yakataga, Alaska",1.4
516,"16km NNW of Poso, Indonesia",4.8
517,"3km SE of Pahala, Hawaii",1.84
518,"24km NNE of Hawthorne, Nevada",1.0
519,"22km ENE of Honaunau-Napoopoo, Hawaii",1.02
520,"148km ESE of McGrath, Alaska",1.8
521,"83km WNW of Arctic Village, Alaska",1.9
522,"25km E of Skagway, Alaska",1.6
523,"54km W of La Ligua, Chile",4.0
524,"39km NE of Big Bear City, CA",1.54
525,"107km NNW of Arctic Village, Alaska",1.8
526,"22km ENE of Honaunau-Napoopoo, Hawaii",2.2
527,"22km ENE of Honaunau-Napoopoo, Hawaii",1.99
528,"90km NNW of Glennallen, Alaska",1.6
529,"22km ENE of Honaunau-Napoopoo, Hawaii",2.02
530,"30km SE of Putre, Chile",4.7
531,"43km N of Nikiski, Alaska",1.9
532,"22km ENE of Honaunau-Napoopoo, Hawaii",0.95
533,"7km NE of Anza, CA",0.62
534,"9km NE of Aguanga, CA",0.73
535,"4km SE of Coso Junction, CA",1.0
536,"77km WSW of Cantwell, Alaska",2.1
537,"22km ENE of Honaunau-Napoopoo, Hawaii",2.4
538,"2km SE of Pahala, Hawaii",1.87
539,"2km N of Maricao, Puerto Rico",1.67
540,"94km NNW of Talkeetna, Alaska",1.7
541,"114km NNW of Arctic Village, Alaska",3.1
542,"9km NE of Aguanga, CA",0.64
543,"2km SSE of Big Lake, Alaska",1.8
544,"7km S of Big Lake, Alaska",2.9
545,Kuril Islands,4.8
546,"62km S of Kaktovik, Alaska",2.1
547,"13km N of Richland, Washington",1.93
548,"63km SSE of Cantwell, Alaska",2.0
549,"210km S of Cape Yakataga, Alaska",2.0
550,"3km N of Dollar Point, California",-0.2
551,"74km E of Cape Yakataga, Alaska",1.1
552,"10km NNE of Talkeetna, Alaska",1.6
553,"62km E of Whittier, Alaska",1.7
554,"33km NW of Beatty, Nevada",0.3
555,"8km W of Cobb, CA",0.56
556,"61km N of Pahrump, Nevada",-0.2
557,"3km SW of Houston, Alaska",1.4
558,"36km ENE of Beatty, Nevada",-0.2
559,"56km NNW of Yakutat, Alaska",1.3
560,"30km S of Caliente, Nevada",0.9
561,"39km NE of Bear Creek, Alaska",1.5
562,"28km WSW of Hawthorne, Nevada",1.3
563,"62km E of Sutton-Alpine, Alaska",0.9
564,"63km WNW of Talkeetna, Alaska",1.6
565,"36km ENE of Beatty, Nevada",-0.1
566,"69km WSW of Kasiguncu, Indonesia",4.9
567,"39km NNE of Redoubt Volcano, Alaska",2.0
568,"9km NNW of Delta, B.C., MX",4.41
569,"9km NNE of Banning, CA",1.42
570,"38km E of Hawthorne, Nevada",0.3
571,"93km WNW of Arctic Village, Alaska",1.6
572,"46km ESE of Beatty, Nevada",-0.4
573,"39km NW of Carlin, Nevada",2.5
574,"45km WSW of Anchor Point, Alaska",1.5
575,"54km SSW of Kaktovik, Alaska",2.3
576,"36km SE of Holy Cross, Alaska",1.9
577,"10km NE of Aguanga, CA",0.38
578,"20km SW of La Quinta, CA",0.61
579,"37km SSE of Morton, Washington",0.39
580,"90km SSW of Kaktovik, Alaska",2.6
581,"118km NNW of Talkeetna, Alaska",1.5
582,Gulf of Alaska,3.1
583,"70km SSW of Kaktovik, Alaska",1.7
584,"107km N of Arctic Village, Alaska",1.7
585,"39km N of North Nenana, Alaska",1.4
586,"98km NNW of Nikiski, Alaska",0.5
587,"92km NNW of Talkeetna, Alaska",1.6
588,"10km NE of Aguanga, CA",0.27
589,"59km NE of King Salmon, Alaska",2.6
